"Product ID [Non Editable]","Variant ID [Non Editable]","Product Type [Non Editable]","Product Page","Product URL","Title","Description","SKU","Option Name 1","Option Value 1","Option Name 2","Option Value 2","Option Name 3","Option Value 3","Option Name 4","Option Value 4","Option Name 5","Option Value 5","Option Name 6","Option Value 6","Price","Sale Price","On Sale","Stock","Categories","Tags","Weight","Length","Width","Height","Visible","Hosted Image URLs"
"","36fb02e5-eed2-4b1f-aefb-64162a677358","","","","","","SQ1356723","Product Type","Essence Oil","Size","10ml","","","","","","","","","19.99","19.99","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"","b66b46c2-d5a9-4522-8228-ca9ac2727492","","","","","","SQ7043347","Product Type","Body Lotion","Size","150ml","","","","","","","","","29.99","29.99","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"673c3026f2f9042b15c3b1fd","0ca8028d-3950-47d0-a90e-9cffffa2913d","PHYSICAL","shop","y42k8fefxcnxblg-2wb2d-4yf22-y7rph-586k5-wrzb3-psbdx-hcfms-rety2-keysl-wfyc8-9l5gj-dadsb-chcyn-82z2t-mpfhx-x2n3d-jbyez-g9d5h-azxfp-nwdxw-g8fd4-bky5j-4jmpz-t98wc-mfrp5-agpl8-5mf7n","Vanilla Musk","<p class="""" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Vanilla Musk</strong> smells warm, soft, and inviting — combining the sweet, creamy richness of vanilla with the clean, powdery smoothness of musk. It’s cozy, slightly sensual, and beautifully balanced for everyday wear.</p>","SQ2465376","Product Type","Perfume","Size","50ml","","","","","","","","","29.99","29.99","No","Unlimited","/niche, /aquador, /women","","0.0","0.0","0.0","0.0","No","https://images.squarespace-cdn.com/content/v1/66901f0f8865462c0ac066ba/5789a12b-15f1-459f-aeb9-518e48fd22da/image_Pippit_202506301816+%2877%29.jfif"
"","e6424ef6-7bcf-40a2-9948-f455650898cb","","","","","","SQ1330310","Product Type","Perfume","Size","100ml","","","","","","","","","49.99","49.99","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"","f08f6c66-2f12-4086-8a8a-377b0c81de56","","","","","","SQ8836062","Product Type","Essence Oil","Size","10ml","","","","","","","","","19.99","19.99","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"","d78e858a-8451-4a64-82bd-cf71529f9ace","","","","","","SQ7654146","Product Type","Body Lotion","Size","150ml","","","","","","","","","29.99","29.99","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"673c3028bfcb1a380a4714df","a46ce500-b9f0-46fe-8810-47f33af472d3","PHYSICAL","shop","y42k8fefxcnxblg-2wb2d-4yf22-y7rph-586k5-wrzb3-psbdx-hcfms-rety2-keysl-wfyc8-9l5gj-dadsb-chcyn-82z2t-mpfhx-x2n3d-jbyez-g9d5h-azxfp-nwdxw-g8fd4-bky5j-4jmpz-t98wc-mfrp5-agpl8","Sandal Musk","<p class="""" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Sandal Musk</strong> smells soft, creamy, and comforting — blending the warm, smooth woodiness of sandalwood with the clean, powdery elegance of musk. It’s gentle, skin-like, and subtly sensual with a serene warmth.</p>","SQ7033500","Product Type","Perfume","Size","50ml","","","","","","","","","29.99","29.99","No","Unlimited","/niche, /aquador, /men, /women","","0.0","0.0","0.0","0.0","No","https://images.squarespace-cdn.com/content/v1/66901f0f8865462c0ac066ba/8d56c3a6-bb47-4599-8bd4-9228c6f5fb4c/image_Pippit_202506100640+%282%29.jfif"
"","d08fdf1a-5aa2-4af6-bbea-41f8426d8075","","","","","","SQ3316333","Product Type","Perfume","Size","100ml","","","","","","","","","49.99","49.99","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"","410b8175-8275-4304-aa49-b224f5f66826","","","","","","SQ7064402","Product Type","Essence Oil","Size","10ml","","","","","","","","","19.99","19.99","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"","d457a184-3ade-4a4a-a671-801aa21c5a46","","","","","","SQ0253506","Product Type","Body Lotion","Size","150ml","","","","","","","","","29.99","29.99","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"673c302c2ad86a6fd28d672e","833787a3-ddd6-41c2-b342-42b3cc005e31","PHYSICAL","shop","y42k8fefxcnxblg-2wb2d-4yf22-y7rph-586k5-wrzb3-psbdx-hcfms-rety2-keysl-wfyc8-9l5gj-dadsb-chcyn-82z2t-mpfhx-x2n3d-jbyez-g9d5h-azxfp-nwdxw-g8fd4-bky5j-4jmpz-t98wc","Pomegranate Musk","<p class="""" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">*It has a creamy and thick texture*</p><p class="""" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Best suited as oil essence</strong></p><p class="""" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""></p><p class="""" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Top Notes</strong>: Cinnamon and Pomegranate. </p><p class="""" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Middle Notes</strong>: Agarwood (Oud) and Sandalwood. </p><p class="""" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Base Notes</strong>: Vanilla and Musk.</p>","SQ7656384","Product Type","Perfume","Size","50ml","","","","","","","","","29.99","29.99","No","Unlimited","/niche, /aquador, /women","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/66901f0f8865462c0ac066ba/55c34a0c-7102-4144-b298-eb02aed66371/image_Pippit_202507021156+%2873%29.jpeg"
"","2eb6689f-3fe6-457c-889f-711d70798c6c","","","","","","SQ0243536","Product Type","Perfume","Size","100ml","","","","","","","","","49.99","49.99","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"","c4f236ca-cc6d-495c-b15f-a5ccec0bfc7a","","","","","","SQ1121785","Product Type","Essence Oil","Size","10ml","","","","","","","","","19.99","19.99","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"","4cd70529-031a-48aa-883f-e6607ffe24cf","","","","","","SQ2143346","Product Type","Body Lotion","Size","150ml","","","","","","","","","29.99","29.99","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"673c302e2ad86a6fd28d672f","740b7299-cafd-4f4b-b8e9-e3e96f20dc0c","PHYSICAL","shop","y42k8fefxcnxblg-2wb2d-4yf22-y7rph-586k5-wrzb3-psbdx-hcfms-rety2-keysl-wfyc8-9l5gj-dadsb-chcyn-82z2t-mpfhx-x2n3d-jbyez-g9d5h-azxfp-nwdxw-g8fd4-bky5j-4jmpz","Musk al Tahara","<p class="""" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">*It has a creamy and thick texture*</p><p class="""" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Best suited as oil essence</strong></p><p class="""" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""></p><p class="""" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Fragrance Notes</strong>: Musk, White Musk and Cotton Flower.</p>","SQ5610046","Product Type","Perfume","Size","50ml","","","","","","","","","29.99","29.99","No","Unlimited","/niche, /aquador, /women","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/66901f0f8865462c0ac066ba/2cde2124-c610-4953-8107-513709a9daa3/image_Pippit_202507021156+%2874%29.jpeg"
"","677eb7e4-6243-40ae-9ce6-831479e7e294","","","","","","SQ2635073","Product Type","Perfume","Size","100ml","","","","","","","","","49.99","49.99","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"","16430913-154a-408f-8aca-c38786085ff9","","","","","","SQ8778470","Product Type","Essence Oil","Size","10ml","","","","","","","","","19.99","19.99","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"","8f7680b3-c74b-467e-9edd-e7a3dfd2fb25","","","","","","SQ7422356","Product Type","Body Lotion","Size","150ml","","","","","","","","","29.99","29.99","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"673c3030e0129c27ae02563c","69c65da6-de3f-49c8-bf79-b85242791573","PHYSICAL","shop","y42k8fefxcnxblg-2wb2d-4yf22-y7rph-586k5-wrzb3-psbdx-hcfms-rety2-keysl-wfyc8-9l5gj-dadsb-chcyn-82z2t-mpfhx-x2n3d-jbyez-g9d5h-azxfp-nwdxw-g8fd4-bky5j","Signature (Designed by Aquad‘or)","<p class="""" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong><span>Top Notes</span></strong><span>: </span>Bergamot, Lavender, Nutmeg, and Mandarin Orange.</p><p class=""Default"" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong><span>Middle Notes</span></strong><span>: </span>Leather, Violet Leaf, Cedarwood, and Clove.</p><p class=""Default"" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong><span>Base Notes</span></strong><span>: </span>Vetiver, Patchouli, Oud, Amber, and Musk.</p>","SQ0688880","Product Type","Perfume","Size","50ml","","","","","","","","","29.99","29.99","No","Unlimited","/niche, /aquador, /men","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/66901f0f8865462c0ac066ba/0f189844-f05b-4b5f-983c-dd952cc40bed/image_Pippit_202507021156+%2872%29.jpeg"
"","d1eb5afb-da30-418c-8ceb-97b6821c9db4","","","","","","SQ0141353","Product Type","Perfume","Size","100ml","","","","","","","","","49.99","49.99","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"","298d5f53-f8a3-4ab0-a4a6-2283d9c4f85c","","","","","","SQ2815425","Product Type","Essence Oil","Size","10ml","","","","","","","","","19.99","19.99","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"","bd3655b9-18c8-446d-8a05-9e3bfd266553","","","","","","SQ1184248","Product Type","Body Lotion","Size","150ml","","","","","","","","","29.99","29.99","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"673c3032bfcb1a380a4714e1","17dc0c03-489f-4dec-a942-dfc16b39989c","PHYSICAL","shop","y42k8fefxcnxblg-2wb2d-4yf22-y7rph-586k5-wrzb3-psbdx-hcfms-rety2-keysl-wfyc8-9l5gj-dadsb-chcyn-82z2t-mpfhx-x2n3d-jbyez-g9d5h-azxfp-nwdxw-g8fd4","Cashmere Dubai Oud (Designed by Aquad‘or)","<p class="""" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Top Notes</strong>: Cashmir Wood, Saffron, Black Currant and Plum. </p><p class="""" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Middle Notes</strong>: Rose, Jasmine and Kashmir Wood. </p><p class="""" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Base Notes</strong>: Agarwood (Oud), Kashmir Wood, Sandalwood, Vanilla and Musk.</p>","SQ8230053","Product Type","Perfume","Size","50ml","","","","","","","","","29.99","29.99","No","Unlimited","/niche, /aquador, /men, /women","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/66901f0f8865462c0ac066ba/5fe1792c-5739-46d9-a806-34a780162d02/image_Pippit_202507021156+%2871%29.jpeg"
"","738774ad-47f5-4159-8fa4-f6c7f71dfb62","","","","","","SQ7612404","Product Type","Perfume","Size","100ml","","","","","","","","","49.99","49.99","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"","56772316-c228-44ad-b6fe-113740f85b76","","","","","","SQ3365814","Product Type","Essence Oil","Size","10ml","","","","","","","","","19.99","19.99","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"","fe60d28e-fca7-4c6f-b8cd-25fefe769f04","","","","","","SQ7056054","Product Type","Body Lotion","Size","150ml","","","","","","","","","29.99","29.99","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"673c3034f2f9042b15c3b204","dd7dab58-e2dd-45c8-9e70-e72921486d89","PHYSICAL","shop","y42k8fefxcnxblg-2wb2d-4yf22-y7rph-586k5-wrzb3-psbdx-hcfms-rety2-keysl-wfyc8-9l5gj-dadsb-chcyn-82z2t-mpfhx-x2n3d-jbyez-g9d5h-azxfp-nwdxw","Gold Yellow Vanilla Dubai (Designed by Aquad‘or)","<p class="""" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong><span>Fragrance Notes: </span></strong><span>White Oud, Arabic Vanilla, Musk, Milk Mousse, Amber, Sandalwood, and Soft Powdery Notes.</span></p>","SQ2856716","Product Type","Perfume","Size","50ml","","","","","","","","","29.99","29.99","No","Unlimited","/niche, /aquador, /men, /women","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/66901f0f8865462c0ac066ba/6bddd6ad-23c7-4e77-b083-4c5a8514982b/image_Pippit_202507021156+%2870%29.jpeg"
"","7909f501-846b-4706-bee0-90cd905b4ce5","","","","","","SQ2546352","Product Type","Perfume","Size","100ml","","","","","","","","","49.99","49.99","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"","cd41b4e7-e4b8-4a69-aa3f-74ccb9c5b529","","","","","","SQ8806613","Product Type","Essence Oil","Size","10ml","","","","","","","","","19.99","19.99","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"","e66467aa-685c-4027-9ae2-b9702ade4b04","","","","","","SQ5142885","Product Type","Body Lotion","Size","150ml","","","","","","","","","29.99","29.99","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"673c30362ad86a6fd28d6732","47d1d917-eb63-4fd2-8ca3-10fbef95b515","PHYSICAL","shop","y42k8fefxcnxblg-2wb2d-4yf22-y7rph-586k5-wrzb3-psbdx-hcfms-rety2-keysl-wfyc8-9l5gj-dadsb-chcyn-82z2t-mpfhx-x2n3d-jbyez-g9d5h-azxfp","Troodos (Designed by Aquad‘or)","<p class="""" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Top Notes</strong>: Rose, Cedar, Saffron and Black Bee Honey. </p><p class="""" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Middle Notes</strong>: Cyprus Cedrus, Woodsy Notes, Tobacco and Cyprus Coffee. </p><p class="""" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Base Notes</strong>: Vanilla (Oud), Tobacco and Incense.</p>","SQ6265242","Product Type","Perfume","Size","50ml","","","","","","","","","29.99","29.99","No","Unlimited","/niche, /aquador, /men","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/66901f0f8865462c0ac066ba/22d0891f-e502-40e6-975e-3bdba9341d4f/image_Pippit_202507021156+%2864%29.jpeg"
"","ac6ae3c1-d2f3-441f-9319-32b8701a1ee3","","","","","","SQ6156741","Product Type","Perfume","Size","100ml","","","","","","","","","49.99","49.99","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"","7de00781-bfc4-40a8-b219-029fcddcab14","","","","","","SQ0565424","Product Type","Essence Oil","Size","10ml","","","","","","","","","19.99","19.99","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"","96e5b686-1d4e-4c76-ad32-ceb6c62553a8","","","","","","SQ1252584","Product Type","Body Lotion","Size","150ml","","","","","","","","","29.99","29.99","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"673c3038f2f9042b15c3b207","21fbc55e-41db-4590-ae38-5d345a83d0a2","PHYSICAL","shop","y42k8fefxcnxblg-2wb2d-4yf22-y7rph-586k5-wrzb3-psbdx-hcfms-rety2-keysl-wfyc8-9l5gj-dadsb-chcyn-82z2t-mpfhx-x2n3d-jbyez-g9d5h","Oud Eau de Parfum by Acqua di Parma","<p class="""" style=""white-space:pre-wrap;""><strong>Top Notes</strong>: Orange and Calabrian Bergamot. </p><p class="""" style=""white-space:pre-wrap;""><strong>Middle Notes</strong>: Agarwood (Oud), Amyris and Coriander. </p><p class="""" style=""white-space:pre-wrap;""><strong>Base Notes</strong>: Leather, Sandalwood, Musk, Cedar and Patchouli.</p>","SQ1687071","Product Type","Perfume","Size","50ml","","","","","","","","","29.99","29.99","No","Unlimited","/niche, /acqua-di-parma, /men, /women","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/66901f0f8865462c0ac066ba/b23246b6-e923-4cfe-8877-ff48df0eb1e0/image_Pippit_202507021156+%2878%29.jpeg"
"","a66f3234-7a4c-4940-8ddf-bfbe3a77e3bf","","","","","","SQ4075115","Product Type","Perfume","Size","100ml","","","","","","","","","49.99","49.99","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"","eadefef9-58f3-4282-a1b0-72c42519c9d5","","","","","","SQ4432411","Product Type","Essence Oil","Size","10ml","","","","","","","","","19.99","19.99","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"","a32cf449-7ece-43e8-80e9-49482c1cca1e","","","","","","SQ4340383","Product Type","Body Lotion","Size","150ml","","","","","","","","","29.99","29.99","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"673c303bf2f9042b15c3b20a","2bc170e8-ac9e-4021-80d6-85991853ef6c","PHYSICAL","shop","y42k8fefxcnxblg-2wb2d-4yf22-y7rph-586k5-wrzb3-psbdx-hcfms-rety2-keysl-wfyc8-9l5gj-dadsb-chcyn-82z2t-mpfhx-x2n3d","Cuir by Yves Saint Laurent","<p class="""" style=""white-space:pre-wrap;""><strong>Top Notes</strong>: Rum, Saffron and Ginger. </p><p class="""" style=""white-space:pre-wrap;""><strong>Middle Notes</strong>: Tobacco, Black Tea and Osmanthus. </p><p class="""" style=""white-space:pre-wrap;""><strong>Base Notes</strong>: Leather, Guaiac Wood and Agarwood (Oud).</p>","SQ8282563","Product Type","Perfume","Size","50ml","","","","","","","","","29.99","29.99","No","Unlimited","/yves-saint-laurent, /niche, /men","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/66901f0f8865462c0ac066ba/ab150f1d-b3ad-4504-94c3-e2118832f505/image_Pippit_202506301816+%2872%29.jfif"
"","363a19ba-c3da-4dc2-8801-d86d01cba622","","","","","","SQ1835200","Product Type","Perfume","Size","100ml","","","","","","","","","49.99","49.99","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"","d94d5f77-990d-4f31-9508-8970d0f7e4bf","","","","","","SQ0065827","Product Type","Essence Oil","Size","10ml","","","","","","","","","19.99","19.99","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"","cd80450c-904e-460d-b851-f0f74e6a1fe6","","","","","","SQ6033302","Product Type","Body Lotion","Size","150ml","","","","","","","","","29.99","29.99","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"673c303de0129c27ae025645","a9cd774f-f20d-4441-96ad-45b6d42a20cb","PHYSICAL","shop","y42k8fefxcnxblg-2wb2d-4yf22-y7rph-586k5-wrzb3-psbdx-hcfms-rety2-keysl-wfyc8-9l5gj-dadsb-chcyn-82z2t-mpfhx","Erba Pura by Xerjoff","<p class="""" style=""white-space:pre-wrap;""><strong>Top Notes</strong>: Orange, Bergamot and Lemon. </p><p class="""" style=""white-space:pre-wrap;""><strong>Middle Note</strong>: Fruits. </p><p class="""" style=""white-space:pre-wrap;""><strong>Base Notes</strong>: White Musk, Amber and Madagascar Vanilla.</p>","SQ8328615","Product Type","Perfume","Size","50ml","","","","","","","","","29.99","29.99","No","Unlimited","/niche, /xerjoff, /men, /women","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/66901f0f8865462c0ac066ba/e3ff0325-0fa4-4888-8432-ea3ce49a9000/image_Pippit_202507021156+-+2025-07-05T170727.107.jpeg"
"","ba71f7af-c019-4c67-a494-9b2b05bfdb07","","","","","","SQ0155430","Product Type","Perfume","Size","100ml","","","","","","","","","49.99","49.99","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"","9e76a8f3-83c5-42ca-8c88-c9354a52035c","","","","","","SQ2674060","Product Type","Essence Oil","Size","10ml","","","","","","","","","19.99","19.99","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"","870c23df-0d3c-4c37-a342-3fda63ffff01","","","","","","SQ3414436","Product Type","Body Lotion","Size","150ml","","","","","","","","","29.99","29.99","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"673c303fe0129c27ae025646","663e0ebf-0873-4f53-9f27-88aa47c70af5","PHYSICAL","shop","y42k8fefxcnxblg-2wb2d-4yf22-y7rph-586k5-wrzb3-psbdx-hcfms-rety2-keysl-wfyc8-9l5gj-dadsb-chcyn-82z2t","Oud Ispahan by Dior","<p class="""" style=""white-space:pre-wrap;""><strong>Fragrance Notes</strong>: Woody Notes, Rose, Smoke, Myrrh, Resin and Floral Notes.</p>","SQ6302407","Product Type","Perfume","Size","50ml","","","","","","","","","29.99","29.99","No","Unlimited","/niche, /dior, /men, /women","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/66901f0f8865462c0ac066ba/ce06b39f-82e2-463e-acc6-186437b2b8fb/image_Pippit_202506301816+%2871%29.jfif"
"","e8141226-f3fd-4462-98ae-2a0815274ba8","","","","","","SQ6540565","Product Type","Perfume","Size","100ml","","","","","","","","","49.99","49.99","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"","26906e50-bfde-4c09-bed5-a0b7340c458d","","","","","","SQ1777410","Product Type","Essence Oil","Size","10ml","","","","","","","","","19.99","19.99","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"","defbc5bf-f845-430a-9206-92a636d9796e","","","","","","SQ2454485","Product Type","Body Lotion","Size","150ml","","","","","","","","","29.99","29.99","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"673c3041bfcb1a380a4714e6","314c38be-575b-4d98-bde8-4a602e818d56","PHYSICAL","shop","y42k8fefxcnxblg-2wb2d-4yf22-y7rph-586k5-wrzb3-psbdx-hcfms-rety2-keysl-wfyc8-9l5gj-dadsb-chcyn","Calabria by Gissah","<p class="""" style=""white-space:pre-wrap;""><strong>Top Notes</strong>: Bergamot, Pink Pepper and Green Apple. </p><p class="""" style=""white-space:pre-wrap;""><strong>Middle Notes</strong>: Cashmere Wood, Iris and Patchouli. </p><p class="""" style=""white-space:pre-wrap;""><strong>Base Notes</strong>: Amberwood, Tonka Bean and Vetiver.</p>","SQ4420568","Product Type","Perfume","Size","50ml","","","","","","","","","29.99","29.99","No","Unlimited","/gissah, /niche, /men, /women","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/66901f0f8865462c0ac066ba/b3fbab7a-993d-4782-9006-ef1442e1778f/image_Pippit_202507021156+-+2025-07-06T160518.961.jpeg"
"","3a3fe40b-30e3-476f-a89e-d0d0241f2acc","","","","","","SQ2140624","Product Type","Perfume","Size","100ml","","","","","","","","","49.99","49.99","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"","70ce6986-a349-4305-8938-e4f46cbbffda","","","","","","SQ5773846","Product Type","Essence Oil","Size","10ml","","","","","","","","","19.99","19.99","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
